objectid,name,address,lng,lat,type_,subtype_,source,verified,exisitng,contact,website,comment_,city,state,zip
13,Santa Monica- Park Drive Community Garden,1400 Park Drive,-118.47590786000,34.03189801000,Community Garden,,VFG-LA,Verified,null,,,,Santa Monica,CA,90404
14,Jose J. Munoz Nursery,10750 Oxnard St.,-118.36498598000,34.17940312000,Nursery,,Nursery Database,Verified,null,,,,North Hollywood,CA,91601
15,L.A. Nursery,18820 Prairie Avenue,-118.54315852000,34.23910234000,Nursery,,Nursery Database,Verified,null,,,,Northridge,CA,91324
16,Florence-Firestone Community Garden,Northwest corner of E. 98th Street and Pace Avenue,-118.24622413000,33.94942949000,Community Garden,,Community Garden Database,Verified,null,Carlos Bustos  carlos_bustos76@yahoo.com,,,Los Angeles,CA,90002
17,Centenos Nursery And Landscaping,6850 Paramount Boulevard,-118.15992579000,33.87930587000,Nursery,,Nursery Database,Verified,null,,,,Long Beach,CA,90805
18,Howard Finn Community Garden,7747 Foothill Boulevard,-118.30149880000,34.25793175000,Community Garden,,Community Garden Database,Verified,null,Robin Johnson 818-353-0741 emailrrj@yahoo.com,,,Tujunga,CA,91042
19,Backyard Grown Nursery,31094 San Martinez Road,-118.67784417000,34.44924376000,Nursery,,Nursery Database,Verified,null,,,,Castaic,CA,91384
20,Mikamo Nursery,1029 West 223rd Street,-118.29335881000,33.82449803000,Nursery,,Nursery Database,Verified,null,,,,Torrance,CA,90502
21,Thomas Edison Elementary,435 S. Pacific Avenue,-118.26444234000,34.14055548000,School Garden,Elementary,2015 Master Gardeners List,Verified,null,,,,Glendale,CA,91204
22,Reedley St. Farms,13531 Reedley St.,-118.44560849000,34.22701551000,Nursery,,Nursery Database,Verified,null,,,,Panorama City,CA,91402
23,William Anderson Elementary,4130 W. 154th Street,-118.34696206000,33.89098466000,School Garden,Elementary,2015 Master Gardeners List,Verified,null,,,,Lawndale,CA,90260
24,"S.Y. Nursery, Incorporated",19900 South Pioneer Boulevard,-118.08194243000,33.84952087000,Nursery,,Nursery Database,Verified,null,,,,Cerritos,CA,90703
25,Gratts Early Education Center,1415 W. 5th Street,-118.26378181000,34.05548652000,School Garden,Headstart,LA County,Verified,null,"Ana Oregal 213-481-3230, 213-481-3238",,,Los Angeles,CA,90017
26,Somis Nursery Llc Dba Nakano Nursery,9647 Noble Ave,-118.46094315000,34.24589076000,Nursery,,Nursery Database,Verified,null,,,,North Hills,CA,91343
27,The Learning Centers At Fairplex - The Farm,1101 W. McKinley Avenue,-117.76671750000,34.08105040000,Nursery,,Nursery Database,Verified,null,,,,Pomona,CA,91768
28,"Toro Nursery, Incorporated",17620 Crenshaw Boulevard,-118.32644989000,33.87042353000,Nursery,,Nursery Database,Verified,null,,,,Torrance,CA,90504
29,"Vineland Growers Nursery, Inc.",6200 Vineland Avenue,-118.37028719000,34.18314248000,Nursery,,Nursery Database,Verified,null,,,,North Hollywood,CA,91606
30,Wild Wood Nursery,2692 N. Towne Ave,-117.73675639000,34.09344069000,Nursery,,Nursery Database,Verified,null,,,,Pomona,CA,91767
31,Augustus Hawkins High School,825 West 60th Street,-118.28804869000,33.98552749000,School Garden,High School,2015 Master Gardeners List,Verified,null,,,,Los Angeles,CA,90044
32,Baldwin Park Usd Ece Center,3699 North Holly Ave,-117.95977679000,34.08302971000,School Garden,Headstart,2015 Master Gardeners List,Verified,null,,,,Baldwin Park,CA,91706
33,Harvest Garden At Barnhart School,240 W Colorado Blvd.,-118.04020407000,34.14537547000,School Garden,Elementary,Site Survey,Verified,null,,,,Arcadia,CA,91007
34,Aspire Inskeep Academy,123 w 59th st,-118.27475011000,33.98695759000,School Garden,Elementary,Site Survey,Verified,null,,,,Los Angeles,CA,90003
35,Los Pinos Wholesale Nursery,7860 Whitsett Avenue,-118.40521411000,34.21402184000,Nursery,,Nursery Database,Verified,null,,,,North Hollywood,CA,91605
36,"A Plant Affair, Llc",1931 Blake Avenue,-118.24374726000,34.09924732000,Nursery,,Nursery Database,Verified,null,,,,Los Angeles,CA,90039
37,"Boething Treeland Farms, Incorporated",23475 Long Valley Road,-118.63920950000,34.15909679000,Nursery,,Nursery Database,Verified,null,,,,Woodland Hills,CA,91367
38,Elysian Heights Es,1562 BAXTER ST,-118.24882078000,34.08883456000,School Garden,Elementary,Site Survey,Verified,null,,,,LOS ANGELES,CA,90026
39,Jack London Day,12924 Oxnard Street┬á,-118.41430737000,34.17938773000,School Garden,High School,2015 Master Gardeners List,Verified,null,,,,Valley Glen,CA,91401
40,Loyola Marymount University,1 Loyola Marymount University Drive,-118.39823633000,33.95498069000,School Garden,College,2015 Master Gardeners List,Verified,null,,,,Los Angeles,CA,90045
41,Amestoy,1048 W. 149th St.,-118.29268980000,33.89642346000,School Garden,Elementary,NEOP,Verified,null,,,,Gardena,CA,90247
42,Micheltorena Street Elementary,1511 Micheltorena Street,-118.27493542000,34.08906766000,School Garden,Elementary,2015 Master Gardeners List,Verified,null,,,,Los Angeles,CA,90026
43,Park Western,1214 Park Western Place,-118.30459093000,33.75328707000,School Garden,Elementary,NEOP,Verified,null,,,,San Pedro,CA,90732
44,Pueblo De Los Angeles Continuation,2506 ALTA ST,-118.20440566000,34.07535671000,School Garden,Adult/Continuation,Site Survey,Verified,null,,,,Los Angeles,CA,90031
46,Glendale Unified School District,223 North Jackson Street,-118.25016560000,34.14894898000,School Garden,Adult/Continuation,Site Survey,Verified,null,,,,Glendale,CA,91206
47,Montague Charter Academy,13000 Montague Street,-118.41556457000,34.24442016000,School Garden,Elementary,AHA,Verified,null,,,,Pacoima,CA,91331
48,Norwood Street Elementary,2020 OAK ST,-118.27874972000,34.03528858000,School Garden,Elementary,Site Survey,Verified,null,,,,Los Angeles,CA,90007
49,Granada Middle School,15337 Lemon Drive,-118.00299868000,33.92323776000,School Garden,Middle,Site Survey,Verified,null,,,,Whittier,CA,90604
50,Whittier Elementary School,1761 Walnut Avenue,-118.17205744000,33.78913953000,School Garden,Elementary,AHA,Verified,null,,,,Long Beach,CA,90813
51,Obama Global Prep Academy,1700 W. 46th Street,-118.30903595000,34.00186036000,School Garden,Middle,AHA - Randy Ryan,Verified,null,,,,┬áLos Angeles,CA,90062
52,Glenfeliz Elementary School,3955 Glenfeliz Blvd,-118.26784440000,34.12238872000,School Garden,Middle School,EnrichLA,Verified,null,,,,Los Angeles,CA,90039
53,La Conte Middle School And Citizens Of The World Charter School,1316 North Bronson Ave.,-118.31794662000,34.09481018000,School Garden,Middle School,EnrichLA,Verified,null,,,,Los Angeles,CA,90028
54,Cheremoya Elementary School,6017 Franklin Avenue,-118.32101894000,34.10526839000,School Garden,Elementary,Site Survey,Verified,null,,,,Los Angeles,CA,90028
55,Brian Enterprises,34810 Largo Vista Rd.,-117.76523588000,34.51425066000,Farm,,Certified Producers List,Verified,null,,,,Llano,CA,93544
56,Worldwide Exotics Inc,11157 Orcas Ave,-118.36859166000,34.27189137000,Farm,,Certified Producers List,Verified,null,,,,Lakeview Terrace,CA,91342
57,Sweet Peach Farm,13502 Lubican St.,-117.97923941000,34.08474358000,Farm,,Certified Producers List,Verified,null,,,,Baldwin Park,CA,91706
58,Healthy Greens Co,817 E. Clemmer Dr.,-118.21292974000,33.87938821000,Farm,,Certified Producers List,Verified,null,,,,Compton,CA,90221
59,Marengo School Garden,1400 Marengo Avenue,0.00000000000,0.00000000000,School Garden,null,null,Not Viewed,New Site,"Rachel Surls,",,test site,South Pasadena,CA,91030-3951
60,Monterey Road Eco-Community Garden - West,827 Monterey Road,-118.24566801000,34.15765932000,Community Garden,,Community Garden Database,Verified,null,Alek Bartrosouf 818-359-0108 abartrosouf@hotmail.com,,,Glendale,CA,91206
61,Arleta Community Garden,8800 Canterbury Avenue,-118.42451218000,34.22961903000,Community Garden,,Community Garden Database,Verified,null,Evelyn Tanjuaquio 818-894-3717 etntl@verizon.net,,,San Fernando Valley,CA,91331
62,South Pasadena Community Garden,1028 Magnolia Street,-118.15617173000,34.11783121000,Community Garden,,Community Garden Database,Verified,null,Michelle Hammond 323.533.2749 michelle@colourmovie.com,,,South Pasadena,CA,91030
63,Salesian Boys & Girls Club Community Garden,2228  E. 4th St.,-118.21333068000,34.04127550000,Community Garden,,Community Garden Database,Verified,null,,,,Los Angeles,CA,90033
64,Verdugo Park Community Garden,1621 Canada Boulevard,-118.22917974000,34.17010306000,Community Garden,,Community Garden Database,Verified,null,Armen Tagakchyan 818-548-2054 atagakchyan@ci.glendale.ca.us,,,Glendale,CA,91208
65,Yamazaki Memorial Community Garden,961 S. Mariposa Avenue,-118.29899293000,34.05387011000,Community Garden,,Community Garden Database,Verified,null,Nancy Fausto 323-494-5537,,,Los Angeles,CA,90006
66,"Ironwood Unlimited, Inc. Dba El Nativo Growers",200 S. Peckham Road,-117.93748390000,34.12061767000,Nursery,,Nursery Database,Verified,null,,,,Azusa,CA,91214
67,"Jiamei Garden U.S.A., Incorporated",2304 Lee Avenue,-118.06725058000,34.05452940000,Nursery,,Nursery Database,Verified,null,,,,South El Monte,CA,91733
68,"Lincoln Avenue Nursery, Incorporated",804 Lincoln Avenue,-118.15684962000,34.15833725000,Nursery,,Nursery Database,Verified,null,,,,Pasadena,CA,91103
69,"Armstrong Garden Centers, Incorporated",3226 Wilshire Boulevard,-118.47118108000,34.04103773000,Nursery,,Nursery Database,Verified,null,,,,Santa Monica,CA,90403
70,Peachland Elementary,24800 Peachland Avenue,-118.54603343000,34.37478226000,School Garden,Elementary,2015 Master Gardeners List,Verified,null,,,,Santa Clarita,CA,91321
71,Saint Maria Gorreti Catholic School,3950 Palo Verde Ave,-118.10776600000,33.82876034000,School Garden,K-8,2015 Master Gardeners List,Verified,null,,,,Long Beach,CA,90808
72,Sequoyah Elementary,535 S Pasadena Avenue,-118.15415258000,34.13679242000,School Garden,Elementary,2015 Master Gardeners List,Verified,null,,,,Pasadena,CA,91105
73,Sch Valmont Elementary,3801 Via La Selva,-118.36527966000,33.80125405000,School Garden,Elementary,2015 Master Gardeners List,Verified,null,,,,Palos Verdes Estates,CA,90274
74,Wilkerson Elementary,2700 N. Doreen Ave,-118.04473348000,34.06104450000,School Garden,Elementary,LA County,Verified,null,Olivia Gallardo 626-575-2311 ogallardo@emcsd.org,,,El Monte,CA,91733
75,Altadena Community Garden,3330 N. Lincoln Avenue,-118.15917972000,34.20303348000,Community Garden,,Community Garden Database,Verified,null,Silvera Grant 626-398-9840 silveragrant@gmail.com,,,Altadena,CA,91001
76,Bougainvillea Community Garden,E. 103rd Street & Grape Street,-118.23695798000,33.94313413000,Community Garden,,Community Garden Database,Verified,null,Pedro Barrera (MG) 323-979-6935 pedro_barrera1127@yahoo.com,,,Los Angeles,CA,90002
77,"Long Beach Organic, Inc. - Wrigley Village Garden",2044 Pacific Avenue,-118.19364621000,33.79431105000,Community Garden,,Community Garden Database,Verified,null,Joe Corso 562-438-9000 Joe@LongBeachOrganic.org,,,Long Beach,CA,90806
78,Cheremoya Ave Elementary,6017 Franklin Avenue,-118.32101894000,34.10526839000,School Garden,Elementary,2015 Master Gardeners List,Verified,null,,,,Los Angeles,CA,90028
79,Carson-Gore Academy Of Environmental Studies School,3200 W. Washington Blvd.,-118.31914944000,34.03986289000,School Garden,Elementary,EnrichLA,Verified,null,,,,Los Angeles,CA,90018
80,Clifford Street Elementary School,2150 Duane St.,-118.25793048000,34.08939517000,School Garden,Elementary,EnrichLA,Verified,null,Armineh┬áAlexan,,,Los Angeles,CA,90039
81,Valley View Elementary School,6921 Woodrow Wilson Drive,-118.34465103000,34.12479669000,School Garden,Elementary,Site Survey,Verified,null,,,,Los Angeles,CA,90068
82,The Accelerated School,116 E. Martin Luther King Jr. Blvd.,-118.27313936000,34.01112349000,School Garden,Kindergarten,EnrichLA,Verified,null,,,,Los Angeles,CA,90011
83,Manzanita School,1717 Old Topanga Canyon,-118.63379914000,34.11160110000,School Garden,Middle School,2015 Master Gardeners List,Verified,null,,,,Topanga,CA,90290
84,Westport Heights,6011 W. 79th St.,-118.38879744000,33.96634769000,School Garden,Elementary,NEOP,Verified,null,,,,Los Angeles,CA,90045
85,Los Altos Elementary,15565 Los Altos Drive,-117.97809214000,33.98823993000,School Garden,Elementary,Site Survey,Verified,null,,,,Hacienda Heights,CA,91745
86,Magnolia Place Childrens Bureau,1910 Magnolia Ave,-118.28639599000,34.03963095000,Community Garden,,2015 Master Gardeners List,Verified,null,,,,Los Angeles,CA,90007
87,Yamaguchi Bonsai Nursery,1905 Sawtelle Boulevard,-118.44489563000,34.04236654000,Nursery,,Nursery Database,Verified,null,,,,Los Angeles,CA,90025
88,Abalone Cove Farm,5521 Palos Verde Dr. S.,-118.37430303000,33.74184399000,Farm,,Certified Producers List,Verified,null,,,,Rancho Palos Verdes,CA,90275
89,JF Organic Farm,210 N. 9th Ave.,-117.98139146000,34.01400246000,Farm,,Certified Producers List,Verified,null,,,,City of Industry,CA,91745
90,Kwa Luk Gardens,2020 Buenos Aires Dr.,-117.85664029000,34.05592164000,Farm,,Certified Producers List,Verified,null,,,,Covina,CA,91724
91,Precision Agritechnologies,12838 Weber Way,-118.33152345000,33.91607906000,Farm,,Certified Producers List,Verified,null,,,,Hawthorne,CA,90277
92,John S. Gibson Senior Garden,1500 S. Harbor Boulevard,-118.27995750000,33.73079468000,Community Garden,,Community Garden Database,Verified,null,Howard Kay 310-833-9577 howardkay@dslextreme.com,,,San Pedro,CA,90731
93,"Armstrong Garden Centers, Incorporated",735 East Foothill Boulevard,-117.70075580000,34.10691761000,Nursery,,Nursery Database,Verified,null,,,,Claremont,CA,91711
94,Mulhall Elementary School,10900 Mulhall Street,-118.02914834000,34.08930724000,School Garden,Elementary,LA County,Verified,null,Michael Rogel 626-453-3784,,,El Monte,CA,91731
95,Sempervirens Botanical Company,18715 S. Western Avenue,-118.30920026000,33.86064819000,Nursery,,Nursery Database,Verified,null,,,,Gardena,CA,90248
96,Vine Street Elementary School,955 North VIne Street,-118.32664832000,34.08819276000,School Garden,Elementary,EnrichLA,Verified,null,,,,Los Angeles,CA,90038
97,32Nd Street Usc Performing Arts,822 W 32ND ST,-118.28219079000,34.02491509000,School Garden,Elementary,Site Survey,Verified,null,,,,LOS ANGELES,CA,90007
98,"Harris, Dale E Or Cary Harris",5181 Mountain Springs Ranch Rd,-117.77219870000,34.14509656000,Farm,,Certified Producers List,Verified,null,,,,La Verne,CA,91750
99,Good Earth Community Garden,Corner of Clyde Avenue and Boden Street - Across from 5571 Boden,-118.36620703000,34.02711268000,Community Garden,,Community Garden Database,Verified,null,David Jackson 323-935-8754 david5214@sbcglobal.net,,,Los Angeles,CA,90016
100,Fremont Wellness Center & Community Garden,7821 S. Avalon Blvd.,-118.26519728000,33.96816788000,Community Garden,,Community Garden Database,Verified,null,,,,Los Angeles,CA,90003
101,"Long Beach Organic, Inc. - Grace Park Garden",325 E. Plymouth Street,-118.18948804000,33.85333950000,Community Garden,,Community Garden Database,Verified,null,Joe Corso 562-438-9000 Joe@LongBeachOrganic.org,,,Long Beach,CA,90805
102,"Long Beach Organic, Inc. - South Forty Garden",2813 South Street,-118.15843324000,33.86020797000,Community Garden,,Community Garden Database,Verified,null,Joe Corso 562-438-9000 Joe@LongBeachOrganic.org,,,Long Beach,CA,90805
103,Parkman Gardens,20800 Burbank Boulevard,-118.58674942000,34.17194315000,Community Garden,,Community Garden Database,Verified,null,Suzanne Boyle 818-274-7402 abbesue@sbcglobal.net,,,Woodland Hills,CA,91367
104,Baldwin Park Community Garden,13067 Bess Avenue,-117.98934330000,34.06554513000,Community Garden,,Community Garden Database,Verified,null,Kitty Hedrick 626-705-5950 kthedrick@champmail.com,,,Baldwin Park,CA,91706
105,"M.B. Nursery And Landscaping, Incorporated",19202 Main Street,-118.27553549000,33.80287672000,Nursery,,Nursery Database,Verified,null,,,,Carson,CA,90745
106,Medall Orchids,4302 Baldwin Park Boulevard,-117.96486621000,34.09061197000,Nursery,,Nursery Database,Verified,null,,,,Baldwin Park,CA,91706
107,Theodore Payne Foundation,10459 Tuxford Street,-118.35955920000,34.23553861000,Nursery,,Nursery Database,Verified,null,,,,Sun Valley,CA,91352
108,Royal Oaks Elementary,2499 Royal Oaks Drive,-117.95092439000,34.14342747000,School Garden,Elementary,LA County,Verified,null,"Kathy Covert Janice Kolodinski, Principal, 626-599-5401",,,Duarte,CA,92010
109,Rowland Avenue Elementary School,1355 East Rowland Avenue,-117.91796296000,34.07923845000,School Garden,Elementary,LA County,Verified,null,April Buege 626-641-7002,,,West Covina,CA,91790
110,Academic Leadership Center At Miguel Contreras School,322 S. Lucas Ave.,-118.26172059000,34.05807560000,School Garden,High School,EnrichLA,Verified,null,adam┬ábyrne,,,Los Angeles,CA,90017
111,Carpenter Community Charter,3909 Carpenter Avenue,-118.39203759000,34.14095546000,School Garden,Elementary,Site Survey,Verified,null,,,,Studio City,CA,91604
112,Los Feliz Science/Tech/Engineer/Math/Medicine Magnet,1740 N NEW HAMPSHIRE AVE,-118.29330636000,34.10259119000,School Garden,Elementary,Site Survey,Verified,null,,,,Los Angeles,CA,90027
113,El Nido Family Ctr Head Start,2152 W. Manchester Ave.,-118.31741981000,33.95994315000,School Garden,Headstart,2015 Master Gardeners List,Verified,null,,,,Los Angeles,CA,90047
114,Mitchell Comm Elementary,16821 W. Goodvale Street,-118.46527400000,34.42932126000,School Garden,Elementary,2015 Master Gardeners List,Verified,null,,,,Canyon Country,CA,91351
115,Mulholland,17120 Vanowen St.,-118.50691944000,34.19385261000,School Garden,Middle School,NEOP,Verified,null,,,,Lake Balboa,CA,91406
116,Meadowlark Elementary School,3015 sacramento Ave,-118.18315992000,34.47355563000,School Garden,Elementary,Site Survey,Verified,null,,,,Acton,CA,93510
117,The Accelerated Schools-Aces 1,119 E. 37th Street,-118.27330952000,34.01492774000,School Garden,Elementary,AHA - Randy Ryan,Verified,null,,,,Los Angeles,CA,90011
118,Caldera Bees,207 S. Vancouver Ave,-118.15684257000,34.03509008000,Farm,,Certified Producers List,Verified,null,,,,Los Angeles,CA,90022
119,Braeridge Farms,1331 Braeridge Dr.,0.00000000000,0.00000000000,Farm,,null,Not Viewed,New Site,Dr. David Gadish,,,Beverly Hills,California,90210
120,Rachel's Office,700 West Main Street,0.00000000000,0.00000000000,Farm,,,Not Viewed,New Site,Rachel Surls  ramabie@ucanr.edu 626-586-1982,,Test Case,Alhambra,California,91801
121,Kit Carson Elementary School,3530 W 147th St.,0.00000000000,0.00000000000,School Garden,,,Not Viewed,New Site,(310) 973-1300 x50053,,,Lawndale,CA,90064
122,Jane Addams Middle School,4535 W. 153rd Pl.,0.00000000000,0.00000000000,School Garden,,,Not Viewed,New Site,(310) 973-1300,,,Lawndale,CA,90064
123,William Green Elementary School,4520 W 168th St,0.00000000000,0.00000000000,School Garden,,,Not Viewed,New Site,(310) 973-1300,,,Lawndale,CA,90260
124,Lucille Smith Elementary School,4521 W 147th St.,0.00000000000,0.00000000000,School Garden,,,Not Viewed,New Site,(310) 973-1300,,,Lawndale,CA,90260
125,Rogers Middle School,4110 W 154th St.,0.00000000000,0.00000000000,School Garden,,,Not Viewed,New Site,(310) 973-1300,,,Lawndale,Ca,90260
126,Seeds to Plate Program at Mark Twain Middle School,2224 Walgrove Avenue,0.00000000000,0.00000000000,School Garden,Middle School,,Approved,Update Site,"Marianne Brown, Interim Director, 310-902-9428, info@seedstoplate.net",www.seedstoplate.net,"Seeds to Plate is a garden based middle school curriculum program with edible, culinary, nutrition and environmental education.",Los Angeles,CA,90066
127,Janet Lai,2878 Roosevelt Street,-117.75677537000,34.09584400000,Nursery,,Nursery Database,Verified,null,,,,La Verne,CA,91750
128,Marquez Charter School,16821 Marquez Avenue,0.00000000000,0.00000000000,School Garden,,,Not Viewed,New Site,Marie Steckmest,www.marquezcharter.org,,PACIFIC PALISADES,Los Angeles,90272
129,Coeur d'Alene School Garden,810 Coeur d'Alene Avenue,0.00000000000,0.00000000000,School Garden,Elementary,,Approved,New Site,beckywolfe@gmail.com,,,Venice,CA,90291
130,San Pascual STEAM Magnet,815 San Pascual Avenue,0.00000000000,0.00000000000,School Garden,Elementary,,Approved,New Site,Sharon Nakata,www.sanpascual-lausd-ca.schoolloop.com,,Los Angeles,California,90042
131,Walgrove Elementary School,1630 Walgrove Ave.,0.00000000000,0.00000000000,School Garden,Elementary,,Approved,New Site,"Olivia Adams, Principal",,,Los Angeles,Ca,90066
132,24Th Street Elementary,2055 W 24TH ST,-118.31012015000,34.03474858000,School Garden,Elementary,Site Survey,Verified,null,,,,Los Angeles,CA,90018
133,Columbia Park Community Garden,4045 190th Street,-118.34458867000,33.85831704000,Community Garden,,Community Garden Database,Verified,null,Mary Lou Weiss 310-781-7520 MWeiss@TorranceCa.Gov,,,Torrance,CA,90504
134,"American Growers Plus, Incorporated",18830 Strathern Street,-118.54334694000,34.21561430000,Nursery,,Nursery Database,Verified,null,,,,Reseda,CA,91335
135,Central Park Community Garden,27150 Bouquet Canyon Road,-118.53727913000,34.42691139000,Community Garden,,Community Garden Database,Verified,null,,,,Santa Clarita,CA,91350
136,Amigos Nursery,1420 92th Street,-118.24622413000,33.94942949000,Nursery,,Nursery Database,Verified,null,,,,Los Angeles,CA,90002
137,Anelo Landscape Soln'S Inc Dba Rolling Hills Nurs.,7150 Jackson Street,-118.17394773000,33.88546464000,Nursery,,Nursery Database,Verified,null,,,,Paramount,CA,90723
138,City Of Santa Monica Euclid Park Community Garden,1525 Euclid Street,-118.48452047000,34.02151293000,Community Garden,,Community Garden Database,Verified,null,,,,Santa Monica,CA,90404
139,Annandale Garden Center,7720 N. Figueroa Street,-118.18343427000,34.14508496000,Nursery,,Nursery Database,Verified,null,,,,Los Angeles,CA,90041
140,City Of Santa Monica Main Street Community Garden,2300 Main Street,-118.48658478000,34.00479713000,Community Garden,,Community Garden Database,Verified,null,,,,Santa Monica,CA,90405
141,"Anthony Tesselaar Usa, Incorporated",15200 Mansel Avenue,-118.35583653000,33.89343040000,Nursery,,Nursery Database,Verified,null,,,,Lawndale,CA,90260
142,City Of Santa Monica Park Drive Community Garden,1400 Park Drive,-118.47590786000,34.03189801000,Community Garden,,Community Garden Database,Verified,null,,,,Santa Monica,CA,90404
143,Arbor Nursery Plus,2865 Royal Oaks Drive,-117.94344431000,34.14485859000,Nursery,,Nursery Database,Verified,null,,,,Duarte,CA,91010
144,Crenshaw Community Garden,1423 S. Crenshaw Boulevard,-118.32764726000,34.04616101000,Community Garden,,Community Garden Database,Verified,null,Danila Oder  doder@usc.edu,,,Los Angeles,CA,90019
145,Armando Orozco Nursery,12205 Saticoy Street,-118.39929608000,34.20849865000,Nursery,,Nursery Database,Verified,null,,,,North Hollywood,CA,91606
146,Armando Sedano,1825 Monica Court,-117.91776287000,33.98794362000,Nursery,,Nursery Database,Verified,null,,,,Rowland Heights,CA,91748
147,Center Street Garden,196 E. Center Street,-117.74824335000,34.06146068000,Community Garden,,Community Garden Database,Verified,null,Nathan Robinson 909-918-GROW info@centerstreetgarden.org,,,Pomona,CA,91767
148,Alta Greens,3796 Alzada Rd,-118.14638435000,34.20698219000,Nursery,,Nursery Database,Verified,null,,,,Altadena,CA,91001
149,Alvarez Gardens,10644 Tuxford Street,-118.36292988000,34.23581367000,Nursery,,Nursery Database,Verified,null,,,,Sun Valley,CA,91352
150,Cambodian Seniors Gardening Project,1851 Cerritos Avenue,-118.17743265000,33.79086111000,Community Garden,,Community Garden Database,Verified,null,,,,Long Beach,CA,90806
151,Alvarez Nursery,11362 Woodley Ave,-118.48465170000,34.27703032000,Nursery,,Nursery Database,Verified,null,,,,Granada Hills,CA,91344
152,Detroit Community Garden,1201 Detroit St.,-118.34522154000,34.09261222000,Community Garden,,Community Garden Database,Verified,null,,,,West Hollywood,CA,90046
153,Chuy'S Nursery,Orange and Taylor,-118.14615735000,34.05173565000,Nursery,,Nursery Database,Verified,null,,,,Monterey Park,CA,91754
154,Fountain Community Gardens,5620 Fountain Avenue,-118.31178217000,34.09474231000,Community Garden,,Community Garden Database,Verified,null,Alex Alferov 323-387-FCG1 fountaincommunitygardens@gmail.com,,,Los Angeles,CA,90028
155,Chuy'S Nursery,9124 Gallatin Road,-118.07640534000,34.01646390000,Nursery,,Nursery Database,Verified,null,,,,Pico Rivera,CA,90660
156,Eagle Rockdale Community Garden,1003 Rockdale Avenue,-118.18878836000,34.13392644000,Community Garden,,Community Garden Database,Verified,null,,,,Los Angeles,CA,90041
157,Classic Landscaping And Nursery,9090 Laurel Canyon Boulevard,-118.40708248000,34.23516764000,Nursery,,Nursery Database,Verified,null,,,,Sun Valley,CA,91352
158,East Hollywood Garden Achievement Center,1171 Madison Avenue,-118.28931852000,34.09268622000,Community Garden,,Community Garden Database,Verified,null,,,,Los Angeles,CA,90029
159,Classic Landscaping And Nursery,18756 Erwin Street,-118.54230930000,34.18384312000,Nursery,,Nursery Database,Verified,null,,,,Tarzana,CA,91335
160,East La Learning Garden/Mott St Urban Farm,1001-1021 S. Mott Street,-118.21437999000,34.03103529000,Community Garden,,Community Garden Database,Verified,null,,,,Los Angeles,CA,90023
161,Coiner Nursery,605 Freeway and Valley Boulevard,-117.95334048000,34.03532037000,Nursery,,Nursery Database,Verified,null,,,,La Puente,CA,91749
162,Colorama Wholesale Nursery,1025 North Todd Avenue,-117.92497278000,34.14221073000,Nursery,,Nursery Database,Verified,null,,,,Azusa,CA,91702
163,Colorama Wholesale Nursery,1203 Bonnie Cone,-117.85169175000,34.14428578000,Nursery,,Nursery Database,Verified,null,,,,Glendora,CA,91741
164,"Corey Nursery Company, Incorporated",1650 North Padua,-117.71887796000,34.10788865000,Nursery,,Nursery Database,Verified,null,,,,Claremont,CA,91711
